Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
45,7,Reef,0.962,"",'> 0.508,"",B,"A, C, D, E, F, G, H, I, J, K, L"
45,8,Reef,0.9470000000000001,'<= 0.156,'0.356 < x <= 0.53,"","A, B, C, D, E, F, H, I, J, K, L",G
45,9,Reef,0.911,'<= 0.156,'<= 0.18,'<= -0.123,Any,None
45,10,Reef,0.8680000000000001,'<= 0.156,'-1.301 < x <= 0.18,'<= -0.007,"A, C, E, F, H, I, K, L","B, D, G, J"
45,11,Reef,0.8370000000000001,'> 0.156,'0.227 < x <= 0.228,'<= 0.144,"A, B, C, E, F, G, H, I, J, K, L",D
45,12,Reef,0.8,'1.533 < x <= 2.56,'-0.643 < x <= -0.623,'<= 0.194,Any,None
45,13,Reef,0.7819999999999999,'<= 0.156,'> 0.18,"","A, B, E, F, H, I, K, L","C, D, G, J"
45,14,Reef,0.7819999999999999,'0.563 < x <= 2.697,'0.426 < x <= 0.508,'<= 0.044,"A, B, E, F, G, H, I, J, K, L","C, D"
45,15,Reef,0.777,"",'> 0.227,"",K,"A, B, C, D, E, F, G, H, I, J, L"
45,16,Reef,0.751,"",'> 0.227,"",L,"A, B, C, D, E, F, G, H, I, J, K"
45,17,Reef,0.742,'3.052 < x <= 3.122,'0.227 < x <= 0.508,"",Any,None
45,18,Reef,0.741,'<= 3.122,'0.227 < x <= 0.508,'<= 0.144,I,"A, B, C, D, E, F, G, H, J, K, L"
45,19,Reef,0.737,'<= 0.156,'> -1.301,'> 0.176,"A, B, C, D, E, F, H, I, J, K, L",G
45,20,Reef,0.727,'<= 1.533,'-0.45 < x <= -0.128,"","A, B, C, D, E, F, G, H, J, K, L",I
45,21,Reef,0.699,'<= 2.56,'-0.504 < x <= -0.446,'<= 0.194,Any,None
45,22,Reef,0.6699999999999999,'2.193 < x <= 2.245,'<= -0.643,"",Any,None
45,23,Reef,0.647,'0.156 < x <= 0.563,'> 0.228,"","A, B, E, F, G, H, I, J, K, L","C, D"
45,24,Reef,0.637,'> 0.156,'> 0.508,'<= -0.01,Any,None
45,25,Reef,0.604,'<= -1.219,"","",Any,None
45,26,Reef,0.601,'-0.612 < x <= 0.156,'0.239 < x <= 0.354,"",G,"A, B, C, D, E, F, H, I, J, K, L"
45,27,Reef,0.597,'<= 0.156,'> -1.301,"","B, E, F, H, I, J, K, L","A, C, D, G"
46,1,Sand,0.895,'-0.3 < x <= 0.682,'0.117 < x <= 0.284,'-0.022 < x <= -0.01,"A, B, C, D, E, F, G, H, J, K, L",I
46,2,Sand,0.8470000000000001,'0.367 < x <= 0.517,'0.101 < x <= 0.242,'-0.025 < x <= 0.059,"A, B, C, E, F, H, I, J, K, L","D, G"
46,3,Sand,0.7939999999999999,'> -0.3,'0.101 < x <= 0.117,'-0.171 < x <= 0.059,"B, C, D, E, F, H, I, J, L","A, G, K"
46,4,Sand,0.753,'> -0.3,'0.101 < x <= 0.284,'-0.171 < x <= -0.025,"B, C, E, F, H, J, L","A, D, G, I, K"
46,5,Sand,0.752,'> 3.052,"",'<= 0.128,Any,None
46,6,Sand,0.735,'-0.157 < x <= 1.839,'0.389 < x <= 0.415,'> -0.171,G,"A, B, C, D, E, F, H, I, J, K, L"
46,7,Sand,0.73,'-0.385 < x <= -0.3,'0.101 < x <= 0.523,'<= 0.059,"C, E, F, G, H, J, L","A, B, D, I, K"
46,8,Sand,0.726,'> 1.839,"",'> -0.224,C,"A, B, D, E, F, G, H, I, J, K, L"
46,9,Sand,0.72,'0.682 < x <= 1.839,'0.117 < x <= 0.284,'-0.022 < x <= 0.059,"A, B, C, D, E, F, H, J, K, L","G, I"
46,10,Sand,0.709,'1.675 < x <= 1.839,"",'> -0.171,"B, C, D, E, F, G, I, J, K, L","A, H"
46,11,Sand,0.648,'> -0.157,'0.284 < x <= 0.389,'-0.061 < x <= -0.005,"A, B, D, E, F, G, H, I, J, K, L",C
46,12,Sand,0.648,'> 1.839,'<= -0.059,"",Any,None
